__date__,applications
2017-07-24,1
2017-07-31,0
2017-08-07,0
2017-08-14,0
2017-08-21,0
2017-08-28,1
2017-09-04,0
2017-09-11,0
2017-09-18,0
2017-09-25,0
2017-10-02,3
2017-10-09,0
2017-10-16,0
2017-10-23,0
2017-10-30,0
2017-11-06,0
2017-11-13,0
2017-11-20,0
2017-11-27,0
2017-12-04,0
2017-12-11,0
2017-12-18,0
2017-12-25,0
2018-01-01,0
2018-01-08,0
2018-01-15,0
2018-01-22,0
2018-01-29,0
2018-02-05,0
2018-02-12,0
2018-02-19,0
2018-02-26,0
2018-03-05,0
2018-03-12,0
2018-03-19,0
2018-03-26,0
2018-04-02,0
2018-04-09,0
2018-04-16,0
2018-04-23,0
2018-04-30,2
2018-05-07,0
2018-05-14,0
2018-05-21,0
2018-05-28,0
2018-06-04,0
2018-06-11,0
2018-06-18,0
2018-06-25,0
2018-07-02,0
2018-07-09,0
2018-07-16,0
2018-07-23,0
2018-07-30,0
2018-08-06,0
2018-08-13,0
2018-08-20,0
2018-08-27,0
2018-09-03,0
2018-09-10,0
2018-09-17,0
2018-09-24,0
2018-10-01,0
2018-10-08,0
2018-10-15,0
2018-10-22,0
2018-10-29,0
2018-11-05,0
2018-11-12,0
2018-11-19,0
2018-11-26,0
2018-12-03,0
2018-12-10,0
2018-12-17,0
2018-12-24,0
2018-12-31,0
2019-01-07,0
2019-01-14,0
2019-01-21,0
2019-01-28,0
2019-02-04,0
2019-02-11,0
2019-02-18,0
2019-02-25,0
2019-03-04,0
2019-03-11,0
2019-03-18,0
2019-03-25,0
2019-04-01,0
2019-04-08,0
2019-04-15,0
2019-04-22,0
2019-04-29,0
2019-05-06,0
2019-05-13,0
2019-05-20,0
2019-05-27,0
2019-06-03,0
2019-06-10,0
2019-06-17,0
2019-06-24,0
2019-07-01,0
2019-07-08,0
2019-07-15,0
2019-07-22,0
2019-07-29,0
2019-08-05,0
2019-08-12,0
2019-08-19,0
2019-08-26,0
2019-09-02,0
2019-09-09,0
2019-09-16,0
2019-09-23,0
2019-09-30,0
2019-10-07,0
2019-10-14,0
2019-10-21,0
2019-10-28,0
2019-11-04,0
2019-11-11,0
2019-11-18,0
2019-11-25,0
2019-12-02,0
2019-12-09,0
2019-12-16,0
2019-12-23,0
2019-12-30,0
2020-01-06,0
2020-01-13,0
2020-01-20,0
2020-01-27,0
2020-02-03,0
2020-02-10,0
2020-02-17,0
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,0
2020-05-04,0
2020-05-11,0
2020-05-18,0
2020-05-25,0
2020-06-01,0
2020-06-08,0
2020-06-15,0
2020-06-22,0
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,0
2020-10-19,0
2020-10-26,0
2020-11-02,0
2020-11-09,0
2020-11-16,0
2020-11-23,0
2020-11-30,0
2020-12-07,0
2020-12-14,0
2020-12-21,0
2020-12-28,0
2021-01-04,0
2021-01-11,0
2021-01-18,0
2021-01-25,0
2021-02-01,0
2021-02-08,1
2021-02-15,1
2021-02-22,0
2021-03-01,0
2021-03-08,0
2021-03-15,0
2021-03-22,0
2021-03-29,0
2021-04-05,0
2021-04-12,0
2021-04-19,0
2021-04-26,0
2021-05-03,0
2021-05-10,0
2021-05-17,0
2021-05-24,0
2021-05-31,0
2021-06-07,0
2021-06-14,0
2021-06-21,0
2021-06-28,0
2021-07-05,0
2021-07-12,0
2021-07-19,0
2021-07-26,0
2021-08-02,0
2021-08-09,0
2021-08-16,0
2021-08-23,0
2021-08-30,0
2021-09-06,0
2021-09-13,0
2021-09-20,0
2021-09-27,0
2021-10-04,0
2021-10-11,0
2021-10-18,0
2021-10-25,0
2021-11-01,0
2021-11-08,0
2021-11-15,4
2021-11-22,1
2021-11-29,0
2021-12-06,0
2021-12-13,0
2021-12-20,0
2021-12-27,0
2022-01-03,0
2022-01-10,0
2022-01-17,1
2022-01-24,1
2022-01-31,0
2022-02-07,0
2022-02-14,0
2022-02-21,0
2022-02-28,5
2022-03-07,16
2022-03-14,3
2022-03-21,8
2022-03-28,2
2022-04-04,0
2022-04-11,1
2022-04-18,0
2022-04-25,16
2022-05-02,29
2022-05-09,16
2022-05-16,1
2022-05-23,32
2022-05-30,0
2022-06-06,0
2022-06-13,0
2022-06-20,0
2022-06-27,0
2022-07-04,0
2022-07-11,0
2022-07-18,0
2022-07-25,0
2022-08-01,0
2022-08-08,0
2022-08-15,0
2022-08-22,0
2022-08-29,0
2022-09-05,0
2022-09-12,0
2022-09-19,0
2022-09-26,0
2022-10-03,0
2022-10-10,0
2022-10-17,0
2022-10-24,0
2022-10-31,0
2022-11-07,0
2022-11-14,0
2022-11-21,0
2022-11-28,0
2022-12-05,0
2022-12-12,0
2022-12-19,0
2022-12-26,0
2023-01-02,0
2023-01-09,0
2023-01-16,0
2023-01-23,0
2023-01-30,0
2023-02-06,0
2023-02-13,0
2023-02-20,0
2023-02-27,0
2023-03-06,0
2023-03-13,0
2023-03-20,0
2023-03-27,0
2023-04-03,0
2023-04-10,0
2023-04-17,0
2023-04-24,0
2023-05-01,0
2023-05-08,0
2023-05-15,0
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,0
2023-08-21,0
2023-08-28,0
2023-09-04,0
2023-09-11,0
2023-09-18,0
2023-09-25,1
2023-10-02,0
2023-10-09,0
2023-10-16,0
2023-10-23,0
2023-10-30,0
2023-11-06,0
2023-11-13,0
2023-11-20,0
2023-11-27,0
2023-12-04,0
2023-12-11,0
2023-12-18,0
2023-12-25,0
2024-01-01,0
2024-01-08,1
2024-01-15,0
2024-01-22,0
2024-01-29,0
2024-02-05,0
2024-02-12,0
2024-02-19,0
2024-02-26,0
2024-03-04,0
2024-03-11,0
2024-03-18,0
2024-03-25,0
2024-04-01,0
2024-04-08,0
2024-04-15,0
2024-04-22,2
2024-04-29,1
2024-05-06,0
2024-05-13,1
2024-05-20,0
2024-05-27,0
2024-06-03,0
2024-06-10,0
2024-06-17,0
2024-06-24,0
2024-07-01,0
2024-07-08,0
2024-07-15,0
2024-07-22,0
2024-07-29,0
2024-08-05,0
2024-08-12,1
2024-08-19,0
2024-08-26,0
2024-09-02,0
2024-09-09,0
2024-09-16,1
2024-09-23,0
2024-09-30,6
2024-10-07,7
2024-10-14,2
2024-10-21,4
2024-10-28,0
2024-11-04,1
2024-11-11,2
2024-11-18,0
2024-11-25,0
2024-12-02,0
2024-12-09,1
2024-12-16,0
2024-12-23,0
2024-12-30,0
2025-01-06,0
2025-01-13,0
2025-01-20,0
2025-01-27,0
2025-02-03,1
2025-02-10,8
2025-02-17,0
2025-02-24,21
2025-03-03,2
2025-03-10,3
2025-03-17,0
2025-03-24,3
2025-03-31,6
2025-04-07,20
2025-04-14,63
2025-04-21,65
2025-04-28,47
2025-05-05,40
2025-05-12,11
2025-05-19,15
2025-05-26,33
2025-06-02,8
2025-06-09,25
2025-06-16,16
2025-06-23,16
2025-06-30,11
2025-07-07,28
2025-07-14,2
2025-07-21,56
2025-07-28,7
